subject,usable,age,age_group,gender,version,block_num,condition,trial_num,trial_in_block,mine_prob_win_left,mine_prob_win_right,subj_choice,feedback,latent_guess,optimal_choice,choice_RT
26,1,24.93333333,Adult,0,B,3,1,104,4,0.8,0.2,1,0,1,1,0.285279036
26,1,24.93333333,Adult,0,B,3,1,105,5,0.8,0.2,1,1,0,1,0.335448027
26,1,24.93333333,Adult,0,B,3,1,106,6,0.8,0.2,1,1,0,1,0.452005148
26,1,24.93333333,Adult,0,B,3,1,107,7,0.8,0.2,1,1,0,1,0.335346937
26,1,24.93333333,Adult,0,B,3,1,108,8,0.8,0.2,1,0,0,1,0.535251856
26,1,24.93333333,Adult,0,B,3,1,109,9,0.8,0.2,0,0,0,0,0.368682861
26,1,24.93333333,Adult,0,B,3,1,110,10,0.8,0.2,1,1,0,1,0.235381126
26,1,24.93333333,Adult,0,B,3,1,111,11,0.8,0.2,1,0,0,1,0.618553877
26,1,24.93333333,Adult,0,B,3,1,112,12,0.8,0.2,1,1,0,1,0.485144138
26,1,24.93333333,Adult,0,B,3,1,113,13,0.8,0.2,1,1,0,1,0.335316896
26,1,24.93333333,Adult,0,B,3,1,114,14,0.8,0.2,1,1,0,1,0.652134895
26,1,24.93333333,Adult,0,B,3,1,115,15,0.8,0.2,1,0,1,1,0.53531909
26,1,24.93333333,Adult,0,B,3,1,116,16,0.8,0.2,1,1,0,1,0.401697874
26,1,24.93333333,Adult,0,B,3,1,117,17,0.8,0.2,1,0,1,1,0.418632984
26,1,24.93333333,Adult,0,B,3,1,118,18,0.8,0.2,1,1,0,1,0.385056019
26,1,24.93333333,Adult,0,B,3,1,119,19,0.8,0.2,1,1,0,1,0.551870823
26,1,24.93333333,Adult,0,B,3,1,120,20,0.8,0.2,1,0,0,1,0.501914024
26,1,24.93333333,Adult,0,B,3,1,121,21,0.8,0.2,1,1,0,1,0.568454027
26,1,24.93333333,Adult,0,B,3,1,122,22,0.8,0.2,1,1,0,1,0.468351126
26,1,24.93333333,Adult,0,B,3,1,123,23,0.8,0.2,1,1,0,1,0.568826914
26,1,24.93333333,Adult,0,B,3,1,124,24,0.8,0.2,1,1,0,1,0.518673897
26,1,24.93333333,Adult,0,B,3,1,125,25,0.8,0.2,1,1,0,1,0.38352108
26,1,24.93333333,Adult,0,B,3,1,126,26,0.8,0.2,1,0,0,1,0.451796055
26,1,24.93333333,Adult,0,B,3,1,127,27,0.8,0.2,1,1,0,1,0.518655062
26,1,24.93333333,Adult,0,B,3,1,128,28,0.8,0.2,1,1,0,1,0.485219002
26,1,24.93333333,Adult,0,B,3,1,129,29,0.8,0.2,1,1,0,1,0.768306017
26,1,24.93333333,Adult,0,B,3,1,130,30,0.8,0.2,1,0,1,1,0.435235977
26,1,24.93333333,Adult,0,B,3,1,131,31,0.8,0.2,1,1,0,1,0.651760101
26,1,24.93333333,Adult,0,B,3,1,132,32,0.8,0.2,1,0,1,1,0.252027988
26,1,24.93333333,Adult,0,B,3,1,133,33,0.8,0.2,1,1,0,1,0.485320091
26,1,24.93333333,Adult,0,B,3,1,134,34,0.8,0.2,1,0,0,1,0.568477154
26,1,24.93333333,Adult,0,B,3,1,135,35,0.8,0.2,1,1,0,1,0.468504906
26,1,24.93333333,Adult,0,B,3,1,136,36,0.8,0.2,1,0,0,1,0.401958942
26,1,24.93333333,Adult,0,B,3,1,137,37,0.8,0.2,1,0,0,1,0.485232115
26,1,24.93333333,Adult,0,B,3,1,138,38,0.8,0.2,1,1,0,1,0.466840029
26,1,24.93333333,Adult,0,B,3,1,139,39,0.8,0.2,1,1,0,1,0.568527937
26,1,24.93333333,Adult,0,B,3,1,140,40,0.8,0.2,1,0,0,1,0.735171795
26,1,24.93333333,Adult,0,B,3,1,141,41,0.8,0.2,1,1,0,1,0.635188818
26,1,24.93333333,Adult,0,B,3,1,142,42,0.8,0.2,1,0,0,1,0.485394955
26,1,24.93333333,Adult,0,B,3,1,143,43,0.8,0.2,1,1,0,1,0.551892042
26,1,24.93333333,Adult,0,B,3,1,144,44,0.8,0.2,1,0,0,1,0.535032988
26,1,24.93333333,Adult,0,B,3,1,145,45,0.8,0.2,1,0,0,1,0.65196085
26,1,24.93333333,Adult,0,B,3,1,146,46,0.8,0.2,1,0,1,1,2.651281118
26,1,24.93333333,Adult,0,B,3,1,147,47,0.8,0.2,1,0,0,1,0.718554974
26,1,24.93333333,Adult,0,B,3,1,148,48,0.8,0.2,1,1,0,1,0.468532085
26,1,24.93333333,Adult,0,B,3,1,149,49,0.8,0.2,1,1,0,1,0.935190201
26,1,24.93333333,Adult,0,B,3,1,150,50,0.8,0.2,1,0,1,1,0.585180998
77,1,23.6,Adult,1,C,1,3,1,1,0.2,0.8,1,1,0,0,1.185018063
77,1,23.6,Adult,1,C,1,3,2,2,0.2,0.8,1,0,1,0,0.75184989
77,1,23.6,Adult,1,C,1,3,3,3,0.2,0.8,0,1,0,1,0.568354845
77,1,23.6,Adult,1,C,1,3,4,4,0.2,0.8,0,1,0,1,0.583361149
77,1,23.6,Adult,1,C,1,3,5,5,0.2,0.8,0,0,1,1,0.418453217
77,1,23.6,Adult,1,C,1,3,6,6,0.2,0.8,0,1,0,1,0.585150957
77,1,23.6,Adult,1,C,1,3,7,7,0.2,0.8,0,0,0,1,0.702003002
77,1,23.6,Adult,1,C,1,3,8,8,0.2,0.8,1,1,1,0,0.685255051
77,1,23.6,Adult,1,C,1,3,9,9,0.2,0.8,1,0,0,0,0.568352938
77,1,23.6,Adult,1,C,1,3,10,10,0.2,0.8,1,0,0,0,0.41862607
77,1,23.6,Adult,1,C,1,3,11,11,0.2,0.8,0,1,0,1,0.302218914
77,1,23.6,Adult,1,C,1,3,12,12,0.2,0.8,0,1,0,1,0.285054207
77,1,23.6,Adult,1,C,1,3,13,13,0.2,0.8,0,0,1,1,0.368535995
77,1,23.6,Adult,1,C,1,3,14,14,0.2,0.8,0,1,0,1,0.31855607
77,1,23.6,Adult,1,C,1,3,15,15,0.2,0.8,0,0,0,1,0.551820993
77,1,23.6,Adult,1,C,1,3,16,16,0.2,0.8,0,1,0,1,0.301930189
77,1,23.6,Adult,1,C,1,3,17,17,0.2,0.8,0,1,0,1,0.318573952
77,1,23.6,Adult,1,C,1,3,18,18,0.2,0.8,0,0,0,1,0.351971865
77,1,23.6,Adult,1,C,1,3,19,19,0.2,0.8,0,1,1,1,0.318339825
77,1,23.6,Adult,1,C,1,3,20,20,0.2,0.8,0,0,1,1,0.368343115
77,1,23.6,Adult,1,C,1,3,21,21,0.2,0.8,0,1,1,1,0.918423891
77,1,23.6,Adult,1,C,1,3,22,22,0.2,0.8,0,0,0,1,0.335225105
77,1,23.6,Adult,1,C,1,3,23,23,0.2,0.8,0,1,0,1,0.383700848
77,1,23.6,Adult,1,C,1,3,24,24,0.2,0.8,0,1,0,1,0.318697929
